iter	Passed	Remaining
0	50	50166
1	51	25457
2	51	17211
3	52	13074
4	53	10607
5	53	8893
6	54	7679
7	54	6767
8	54	6048
9	55	5476
10	55	5008
11	56	4623
12	56	4294
13	58	4095
14	59	3897
15	62	3841
16	63	3650
17	64	3504
18	68	3540
19	69	3413
20	79	3707
21	80	3600
22	81	3477
23	82	3363
24	83	3253
25	85	3188
26	90	3262
27	92	3202
28	92	3112
29	93	3032
30	94	2958
31	96	2912
32	115	3393
33	118	3353
34	119	3285
35	120	3214
36	120	3147
37	124	3159
38	126	3112
39	127	3049
40	128	2994
41	128	2939
42	129	2883
43	139	3040
44	160	3408
45	164	3409
46	165	3348
47	185	3688
48	187	3645
49	188	3586
50	189	3529
51	190	3470
52	191	3420
53	192	3369
54	202	3486
55	208	3512
56	210	3474
57	210	3423
58	211	3374
59	226	3549
60	229	3536
61	232	3518
62	233	3476
63	235	3444
64	236	3399
65	237	3354
66	243	3392
67	252	3464
68	255	3446
69	256	3403
70	256	3361
71	263	3391
72	267	3391
73	267	3350
74	268	3316
75	289	3518
76	292	3510
77	293	3470
78	294	3431
79	294	3392
80	295	3354
81	296	3318
82	297	3282
83	297	3248
84	319	3443
85	323	3443
86	324	3405
87	325	3371
88	328	3359
89	329	3332
90	330	3299
91	331	3269
92	336	3282
93	340	3281
94	354	3375
95	356	3353
96	357	3323
97	365	3362
98	366	3333
99	367	3303
100	369	3292
101	371	3271
102	372	3242
103	382	3298
104	384	3274
105	387	3267
106	391	3265
107	392	3239
108	392	3211
109	399	3230
110	402	3222
111	403	3195
112	403	3168
113	411	3200
114	414	3191
115	415	3163
116	419	3162
117	422	3159
118	424	3139
119	424	3115
120	428	3114
121	434	3128
122	443	3162
123	446	3155
124	447	3133
125	448	3111
126	449	3092
127	453	3089
128	454	3071
129	456	3054
130	458	3039
131	458	3017
132	460	3002
133	462	2989
134	463	2969
135	466	2965
136	468	2952
137	482	3016
138	486	3013
139	487	2992
140	490	2988
141	499	3020
142	504	3022
143	506	3013
144	518	3056
145	523	3059
146	523	3039
147	524	3020
148	541	3095
149	542	3074
150	543	3053
151	543	3031
152	543	3011
153	552	3032
154	552	3013
155	553	2995
156	554	2977
157	580	3091
158	588	3115
159	590	3098
160	590	3079
161	591	3060
162	592	3041
163	593	3023
164	616	3119
165	625	3141
166	626	3124
167	626	3105
168	627	3086
169	640	3124
170	641	3111
171	642	3092
172	654	3126
173	656	3116
174	656	3097
175	657	3077
176	664	3090
177	697	3220
178	704	3230
179	705	3214
180	705	3194
181	741	3334
182	744	3324
183	745	3306
184	751	3310
185	752	3295
186	753	3277
187	754	3259
188	766	3289
189	773	3299
190	776	3287
191	777	3274
192	778	3256
193	784	3257
194	784	3238
195	787	3232
196	788	3215
197	794	3218
198	799	3219
199	801	3205
200	802	3189
201	808	3195
202	809	3179
203	810	3162
204	811	3145
205	831	3203
206	841	3224
207	842	3206
208	849	3213
209	849	3197
210	850	3181
211	853	3173
212	857	3166
213	857	3149
214	858	3132
215	858	3116
216	858	3099
217	859	3082
218	859	3066
219	860	3049
220	860	3033
221	861	3017
222	862	3004
223	885	3066
224	887	3058
225	888	3042
226	888	3026
227	889	3010
228	889	2994
229	890	2979
230	890	2964
231	912	3020
232	916	3016
233	916	3001
234	917	2986
235	926	2997
236	931	2999
237	932	2984
238	932	2969
239	936	2965
240	941	2966
241	942	2952
242	946	2948
243	947	2935
244	948	2922
245	949	2909
246	963	2936
247	964	2925
248	967	2916
249	967	2903
250	980	2925
251	981	2914
252	984	2906
253	985	2893
254	985	2880
255	986	2867
256	987	2854
257	996	2865
258	999	2860
259	1002	2852
260	1007	2851
261	1009	2842
262	1010	2832
263	1014	2827
264	1016	2819
265	1018	2810
266	1022	2806
267	1023	2795
268	1035	2812
269	1035	2800
270	1036	2787
271	1036	2775
272	1047	2790
273	1049	2781
274	1050	2768
275	1050	2756
276	1051	2744
277	1052	2732
278	1064	2752
279	1071	2755
280	1076	2753
281	1076	2742
282	1082	2741
283	1085	2737
284	1086	2725
285	1087	2715
286	1087	2702
287	1088	2690
288	1088	2678
289	1089	2666
290	1099	2679
291	1103	2675
292	1104	2664
293	1108	2660
294	1108	2649
295	1108	2637
296	1109	2625
297	1110	2615
298	1118	2622
299	1119	2612
300	1120	2601
301	1131	2615
302	1135	2610
303	1136	2602
304	1141	2600
305	1142	2590
306	1144	2584
307	1146	2575
308	1147	2565
309	1153	2567
310	1165	2582
311	1166	2572
312	1175	2579
313	1182	2582
314	1183	2574
315	1195	2587
316	1197	2579
