iter	Passed	Remaining
0	13	13844
1	14	7385
2	17	5848
3	22	5726
4	24	4956
5	26	4342
6	27	3834
7	27	3449
8	28	3159
9	29	2928
10	30	2747
11	37	3074
12	38	2922
13	40	2827
14	41	2692
15	42	2643
16	43	2537
17	44	2445
18	47	2433
19	48	2373
20	51	2377
21	54	2412
22	55	2337
23	56	2280
24	56	2222
25	58	2187
26	59	2128
27	60	2102
28	61	2050
29	62	2009
30	63	1972
31	66	2023
32	79	2317
33	80	2276
34	94	2601
35	95	2569
36	96	2514
37	99	2521
38	105	2604
39	106	2553
40	107	2508
41	116	2647
42	116	2603
43	117	2558
44	118	2513
45	119	2469
46	122	2481
47	123	2453
48	126	2449
49	127	2415
50	128	2382
51	131	2406
52	132	2374
53	133	2343
54	134	2316
55	135	2284
56	136	2258
57	137	2234
58	138	2208
59	139	2179
60	139	2153
61	140	2130
62	141	2111
63	143	2094
64	144	2072
65	145	2052
66	145	2031
67	178	2452
68	181	2451
69	183	2442
70	186	2446
71	189	2438
72	191	2429
73	193	2424
74	195	2410
75	197	2403
76	200	2400
77	203	2404
78	207	2417
79	208	2400
80	217	2464
81	221	2476
82	221	2446
83	221	2420
84	223	2405
85	227	2422
86	230	2423
87	233	2416
88	247	2529
89	256	2589
90	258	2585
91	262	2593
92	265	2588
93	270	2604
94	272	2593
95	275	2590
96	277	2579
97	280	2577
98	281	2562
99	284	2557
100	290	2590
101	312	2753
102	322	2811
103	324	2796
104	329	2811
105	334	2824
106	337	2816
107	338	2796
108	339	2774
109	345	2794
110	346	2772
111	347	2752
112	350	2748
113	351	2729
114	353	2717
115	354	2702
116	355	2684
117	356	2664
118	357	2645
119	362	2657
120	365	2655
121	373	2684
122	374	2669
123	375	2650
124	382	2675
125	382	2656
126	389	2678
127	393	2679
128	395	2672
129	396	2653
130	406	2696
131	424	2790
132	424	2769
133	429	2775
134	429	2755
135	430	2734
136	430	2714
137	431	2694
138	431	2675
139	435	2674
140	438	2673
141	439	2655
142	440	2637
143	440	2619
144	441	2602
145	454	2655
146	463	2692
147	466	2684
148	469	2680
149	470	2666
150	471	2648
151	471	2632
152	474	2626
153	475	2613
154	476	2598
155	477	2582
156	478	2567
157	479	2553
158	480	2543
159	482	2531
160	482	2515
161	483	2499
162	484	2485
163	491	2507
164	492	2492
165	493	2480
166	494	2467
167	495	2454
168	499	2454
